"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"1","green","red","green","red","red","red","red","red","red","green"
"2","green","red","red","green","red","green","green","green","green","red"
"3","red","red","red","green","green","green","green","green","green","red"
"4","red","green","green","green","green","green","green","green","green","red"
"5","green","green","green","red","green","red","red","red","red","red"
"6","red","red","red","green","red","green","green","green","green","green"
"7","red","red","red","green","red","green","green","green","green","red"
"8","green","green","green","red","red","red","green","green","red","red"
"9","red","green","green","red","red","red","red","red","red","red"
"10","green","green","red","red","green","green","green","green","green","green"
"11","red","red","green","green","green","green","green","red","red","green"
"12","green","red","green","green","red","green","green","green","green","green"
"13","green","green","green","green","green","green","green","green","green","green"
"14","red","green","red","green","green","green","green","green","green","green"
"15","red","red","red","red","red","red","red","green","green","green"
"16","green","green","green","red","red","red","red","red","green","green"
"17","green","green","green","red","red","green","green","green","green","red"
"18","green","green","red","green","red","green","green","red","red","red"
"19","green","green","green","green","green","green","green","green","green","red"
"20","green","green","green","green","green","green","red","red","red","green"
"21","red","red","green","green","red","green","red","green","green","red"
"22","green","green","red","green","red","red","red","red","green","green"
"23","red","red","green","red","red","red","red","green","green","green"
"24","green","green","red","green","green","red","green","red","green","green"
"25","green","green","red","green","green","red","red","red","green","green"
"26","green","green","red","red","green","red","red","green","green","green"
"27","green","green","green","green","red","red","red","red","red","red"
"28","red","red","green","green","red","red","red","red","green","red"
"29","green","green","green","green","green","green","green","green","green","red"
"30","red","green","red","red","red","red","red","green","green","green"
"31","red","red","red","green","green","red","red","green","green","red"
"32","red","green","green","red","green","green","red","green","green","green"
"33","green","red","green","red","green","green","red","green","red","red"
"34","red","red","green","red","green","green","green","red","green","green"
"35","red","red","red","red","red","red","red","red","green","green"
"36","red","red","green","red","red","green","green","red","red","red"
"37","green","green","green","red","green","green","red","red","red","red"
"38","red","red","green","green","green","red","red","red","red","green"
"39","green","green","red","red","green","green","green","red","red","green"
"40","red","red","green","green","green","green","green","red","red","green"
"41","green","red","green","red","green","green","green","red","green","green"
"42","green","red","green","green","green","green","green","green","red","green"
"43","green","green","red","green","green","green","green","red","red","green"
"44","red","green","red","red","green","green","green","red","red","red"
"45","green","green","green","green","red","red","red","green","red","green"
"46","green","red","green","green","green","green","green","green","green","red"
"47","green","red","green","green","red","red","red","green","green","green"
"48","green","red","green","green","red","red","red","red","green","green"
"49","red","red","green","green","green","green","green","green","green","green"
"50","green","red","green","red","red","red","red","green","green","red"
"51","green","green","red","green","red","red","red","green","green","red"
"52","green","green","red","green","red","red","red","red","red","red"
"53","green","green","red","green","green","red","red","red","red","red"
"54","green","green","red","red","red","red","red","red","red","red"
"55","green","green","green","green","green","red","red","green","green","red"
"56","red","green","red","green","green","green","green","red","red","green"
"57","green","green","green","red","red","red","red","green","red","red"
"58","red","red","red","green","green","red","red","red","green","red"
"59","green","green","green","red","green","green","green","green","red","red"
"60","red","red","red","green","green","red","red","red","red","red"
"61","green","green","green","red","green","green","red","red","red","green"
"62","green","red","green","green","red","red","red","red","red","green"
"63","green","green","red","green","red","red","red","red","red","green"
"64","red","red","red","green","red","green","red","red","red","green"
"65","green","red","red","red","red","red","red","green","green","red"
"66","green","green","green","green","green","red","red","red","green","green"
"67","green","green","green","red","red","red","red","green","green","red"
"68","green","red","green","green","red","red","red","red","red","green"
"69","red","red","green","green","red","red","red","red","red","red"
"70","green","red","green","green","green","green","green","green","green","red"
"71","red","red","green","green","green","green","green","green","green","green"
"72","green","red","green","green","green","green","green","green","green","red"
"73","green","red","green","green","red","red","red","red","green","red"
"74","green","red","red","green","red","green","green","green","green","green"
"75","green","red","green","green","red","red","red","red","red","green"
"76","green","green","red","green","red","green","red","green","green","green"
"77","green","green","red","red","green","green","green","red","red","red"
"78","red","green","green","red","green","red","red","red","red","green"
"79","green","red","green","green","green","green","red","green","red","green"
"80","red","green","green","green","green","green","green","green","green","red"
"81","red","red","red","red","green","red","red","red","red","green"
"82","green","red","green","green","green","green","green","red","red","green"
"83","green","green","red","red","green","red","red","red","green","green"
"84","green","red","green","red","red","red","red","red","red","red"
"85","red","red","red","red","green","green","green","green","red","green"
"86","red","green","red","red","green","green","green","red","red","red"
"87","green","green","green","red","red","green","green","green","red","red"
"88","green","green","red","red","green","green","green","green","red","green"
"89","red","red","red","red","green","green","green","green","green","green"
"90","red","red","red","green","green","red","red","green","green","green"
"91","red","red","green","green","red","green","green","red","red","red"
"92","green","green","green","green","red","red","red","red","red","red"
"93","red","red","green","red","green","green","green","red","red","green"
"94","green","green","red","green","green","green","green","green","green","green"
"95","red","red","green","green","green","green","green","red","green","green"
"96","green","green","green","green","red","green","green","green","green","green"
"97","red","red","red","green","red","green","green","green","red","green"
"98","green","green","red","red","red","red","red","green","red","green"
"99","green","green","green","red","green","green","green","red","red","green"
"100","green","red","green","green","green","green","green","green","green","green"
"101","green","green","green","green","green","green","red","green","green","red"
"102","red","red","green","green","green","green","green","green","green","green"
"103","red","red","green","green","red","red","red","red","green","green"
