"","X1","X2","X3","X4","X5"
"1","red","red","red","red","red"
"2","red","red","red","red","red"
"3","red","red","red","red","red"
"4","red","red","red","red","red"
"5","green","red","red","red","red"
"6","red","red","red","green","red"
"7","red","red","red","red","red"
"8","red","red","red","red","red"
"9","red","red","red","red","red"
"10","red","red","red","green","red"
"11","red","red","green","red","red"
"12","red","red","red","red","red"
"13","red","red","green","red","red"
"14","red","red","red","red","red"
"15","red","red","red","red","red"
"16","red","red","red","red","red"
"17","red","red","red","red","red"
"18","red","red","red","red","red"
"19","red","red","red","red","red"
"20","red","red","green","red","red"
"21","red","red","red","red","red"
"22","red","red","red","red","red"
"23","red","red","red","red","red"
"24","red","green","red","red","green"
"25","red","red","red","red","red"
"26","red","red","red","red","red"
"27","red","red","red","red","red"
"28","red","red","red","green","red"
"29","red","green","green","green","green"
"30","green","red","red","red","red"
"31","red","green","green","green","green"
"32","red","red","red","green","red"
"33","red","red","red","red","red"
"34","red","red","red","red","red"
"35","red","red","red","red","red"
"36","red","red","red","red","red"
"37","red","red","red","red","red"
"38","red","red","red","red","red"
"39","red","green","green","green","green"
"40","red","red","red","red","red"
"41","red","red","red","red","red"
"42","red","green","green","red","green"
"43","red","red","red","red","green"
"44","red","red","red","red","red"
"45","green","red","red","red","green"
"46","red","red","red","red","red"
"47","red","red","red","red","red"
"48","red","red","red","red","red"
"49","red","red","red","red","red"
"50","green","red","red","red","red"
"51","red","red","red","red","red"
"52","red","red","red","red","red"
"53","red","red","red","red","red"
"54","red","red","red","red","red"
"55","red","red","red","red","red"
"56","red","red","green","red","red"
"57","red","red","red","red","red"
"58","red","green","red","red","red"
"59","red","red","red","green","red"
"60","red","red","red","red","red"
"61","red","red","red","red","red"
"62","red","red","red","red","red"
"63","green","red","green","red","red"
"64","red","red","red","red","red"
"65","red","green","green","red","red"
"66","red","red","red","red","red"
"67","red","red","red","red","red"
"68","red","red","red","red","red"
"69","red","red","red","red","red"
"70","green","red","red","red","red"
"71","red","red","red","red","red"
"72","red","red","red","red","red"
"73","red","red","red","red","red"
"74","red","red","red","red","red"
"75","green","red","red","red","red"
"76","green","red","red","red","red"
"77","red","red","red","red","red"
"78","green","red","red","red","red"
"79","red","red","red","red","red"
"80","green","red","red","red","red"
"81","red","red","red","red","red"
"82","green","red","red","red","red"
"83","green","red","red","red","red"
"84","red","red","red","red","red"
"85","red","red","red","red","red"
"86","red","red","red","red","red"
"87","red","red","red","red","red"
"88","red","red","red","red","red"
"89","red","red","red","red","red"
"90","red","red","red","red","red"
"91","red","red","red","red","red"
"92","red","red","red","red","red"
"93","red","red","red","red","red"
"94","red","red","red","red","red"
"95","red","red","red","red","red"
"96","red","red","red","red","red"
"97","red","red","red","red","red"
"98","red","red","red","red","red"
"99","red","red","red","red","red"
"100","red","red","red","red","red"
"101","red","red","red","red","red"
"102","green","green","green","green","red"
"103","red","red","red","red","red"
"104","red","red","red","red","red"
"105","red","green","green","red","red"
"106","red","red","red","red","red"
"107","red","red","red","red","red"
"108","red","green","red","red","red"
"109","red","red","red","red","red"
"110","red","red","red","red","red"
"111","red","red","red","red","red"
"112","red","red","red","red","red"
"113","green","red","red","red","red"
"114","red","red","red","red","red"
"115","red","red","red","red","red"
"116","red","red","green","red","green"
"117","red","red","red","red","red"
"118","red","red","red","red","red"
"119","red","red","red","red","red"
"120","red","red","red","red","green"
"121","green","red","red","red","red"
"122","red","red","red","red","red"
"123","red","green","green","green","red"
"124","red","red","red","red","red"
"125","red","green","green","green","green"
"126","green","red","red","red","red"
"127","red","red","red","red","red"
"128","green","red","red","red","red"
"129","red","red","red","red","green"
"130","green","red","red","red","green"
"131","red","red","red","red","red"
"132","red","red","red","red","green"
"133","red","red","red","red","red"
"134","red","red","red","red","red"
"135","red","red","red","red","red"
"136","red","red","green","red","red"
"137","red","red","red","green","red"
"138","red","red","red","red","red"
"139","red","red","red","red","red"
"140","red","green","red","red","red"
"141","green","red","red","red","red"
"142","red","red","red","red","red"
"143","red","red","red","red","red"
"144","red","red","red","green","red"
"145","red","red","red","red","red"
"146","red","red","red","red","red"
"147","red","red","red","red","red"
"148","red","red","green","red","red"
"149","red","red","red","red","red"
"150","red","red","red","red","red"
"151","red","red","green","green","red"
"152","red","red","red","red","red"
"153","red","red","red","red","red"
"154","red","red","green","red","red"
"155","red","red","red","red","red"
"156","red","red","red","red","red"
"157","red","green","green","green","green"
"158","red","red","red","red","red"
"159","red","red","red","red","red"
"160","red","green","green","green","green"
"161","red","red","red","red","red"
"162","red","red","red","red","red"
"163","red","red","red","red","red"
"164","red","green","red","red","red"
"165","red","red","green","red","red"
"166","green","red","red","red","red"
"167","red","red","red","red","red"
"168","red","red","red","red","red"
"169","red","red","red","red","red"
"170","red","red","red","red","red"
"171","red","red","red","red","red"
"172","red","red","red","red","red"
"173","red","red","red","red","red"
"174","red","red","red","red","red"
"175","red","red","red","red","red"
"176","red","red","red","red","red"
"177","red","red","red","green","red"
"178","red","red","red","red","red"
"179","red","red","red","red","red"
"180","red","green","green","green","green"
"181","red","red","red","red","red"
"182","red","green","red","red","red"
"183","green","red","red","red","red"
"184","red","red","red","red","red"
"185","red","red","red","green","red"
"186","red","red","red","red","red"
"187","red","red","red","red","red"
"188","red","red","red","red","red"
"189","red","red","red","red","red"
"190","red","red","red","red","red"
"191","red","red","red","green","red"
"192","red","red","red","red","red"
"193","green","red","red","green","red"
"194","red","red","red","red","red"
"195","red","red","red","red","red"
"196","red","green","red","red","red"
"197","red","red","red","red","red"
"198","red","green","green","red","red"
"199","red","red","red","red","red"
"200","red","red","green","red","red"
"201","red","red","red","red","green"
"202","red","red","red","red","red"
"203","red","red","red","red","red"
"204","red","red","red","red","red"
"205","red","red","red","red","red"
"206","red","red","red","red","red"
"207","red","red","green","red","red"
"208","red","red","red","red","red"
"209","red","red","red","red","red"
"210","red","red","red","red","red"
"211","red","red","red","red","red"
"212","red","green","green","green","red"
"213","red","red","red","red","red"
"214","red","red","red","red","red"
"215","red","red","red","red","green"
"216","red","red","red","red","red"
"217","red","red","red","red","red"
"218","red","red","red","red","red"
"219","red","red","red","red","red"
"220","red","red","red","red","red"
"221","red","green","red","red","red"
"222","red","red","red","red","red"
"223","red","red","red","red","red"
"224","red","red","green","red","red"
"225","red","red","green","red","red"
"226","red","red","red","red","red"
"227","red","red","red","red","red"
"228","red","green","green","green","green"
"229","red","red","green","red","red"
"230","red","red","red","red","red"
"231","red","red","red","red","green"
"232","red","green","green","green","green"
"233","green","red","red","red","red"
"234","red","red","red","red","red"
"235","red","red","red","red","red"
"236","red","red","red","red","red"
"237","red","red","red","red","red"
"238","red","red","red","red","red"
"239","red","red","red","red","red"
"240","red","red","red","red","red"
"241","red","red","red","red","red"
"242","red","red","red","red","red"
"243","red","red","red","red","red"
"244","red","red","red","red","red"
"245","red","red","red","red","red"
